"Time stamp","System power generated | (kW)"
"309",-0.0162711
"310",-0.0162711
"311",-0.0162711
"312",-0.0162711
"313",-0.0162711
"314",-0.0162711
"315",-0.0162711
"316",-0.0162711
"317",-0.0162711
"318",-0.0162711
"319",-0.0162711
"320",214.375
"321",191.61
"322",202.586
"323",200.844
"324",193.883
"325",190.154
"326",176.562
"327",151.795
"328",3.60018
"329",-0.0162711
"330",-0.0162711
"331",-0.0162711
"332",-0.0162711
"333",-0.0162711
"334",-0.0162711
"335",-0.0162711
"336",-0.0162711
"337",-0.0162711
"338",-0.0162711
"339",-0.0162711
"340",-0.0162711
"341",-0.0162711
"342",-0.0162711
"343",-0.0162711
"344",85.878
"345",107.58
"346",164.622
"347",183.743
"348",125.021
"349",70.3686
"350",120.292
"351",79.5032
"352",2.23601
"353",-0.0162711
"354",-0.0162711
"355",-0.0162711
"356",-0.0162711
"357",-0.0162711
"358",-0.0162711
"359",-0.0162711
"360",-0.0162711
"361",-0.0162711
"362",-0.0162711
"363",-0.0162711
"364",-0.0162711
"365",-0.0162711
"366",-0.0162711
"367",-0.0162711
"368",214.375
"369",199.202
"370",191.004
"371",163.091
"372",199.539
"373",138.754
"374",171.411
"375",95.7856
"376",80.8835
"377",-0.0162711
"378",-0.0162711
"379",-0.0162711
"380",-0.0162711
"381",-0.0162711
"382",-0.0162711
"383",-0.0162711
"384",-0.0162711
"385",-0.0162711
"386",-0.0162711
"387",-0.0162711
"388",-0.0162711
"389",-0.0162711
"390",-0.0162711
"391",-0.0162711
"392",214.375
"393",185.24
"394",62.8903
"395",58.7775
"396",113.998
"397",128.671
"398",85.8941
"399",146.21
"400",89.5266
"401",-0.0162711
"402",-0.0162711
"403",-0.0162711
"404",-0.0162711
"405",-0.0162711
"406",-0.0162711
"407",-0.0162711
"408",-0.0162711
"409",-0.0162711
"410",-0.0162711
"411",-0.0162711
"412",-0.0162711
"413",-0.0162711
"414",-0.0162711
"415",-0.0162711
"416",175.379
"417",174.234
"418",155.752
"419",163.352
"420",166.298
"421",151.904
"422",57.9034
"423",60.3474
"424",8.32141
"425",-0.0162711
"426",-0.0162711
"427",-0.0162711
"428",-0.0162711
"429",-0.0162711
"430",-0.0162711
"431",-0.0162711
"432",-0.0162711
"433",-0.0162711
"434",-0.0162711
"435",-0.0162711
"436",-0.0162711
"437",-0.0162711
"438",-0.0162711
"439",-0.0162711
"440",214.375
"441",197.155
"442",173.974
"443",179.944
"444",206.591
"445",175.87
"446",140.936
"447",88.1833
"448",12.7816
"449",-0.0162711
"450",-0.0162711
"451",-0.0162711
"452",-0.0162711
"453",-0.0162711
"454",-0.0162711
"455",-0.0162711
"456",-0.0162711
"457",-0.0162711
"458",-0.0162711
"459",-0.0162711
"460",-0.0162711
"461",-0.0162711
"462",-0.0162711
"463",-0.0162711
"464",214.375
"465",166.554
"466",127.53
"467",127.82
"468",136.204
"469",137.083
"470",119.094
"471",37.3245
"472",0.210922
"473",-0.0162711
"474",-0.0162711
"475",-0.0162711
"476",-0.0162711
"477",-0.0162711
"478",-0.0162711
"479",-0.0162711
"480",-0.0162711
"481",-0.0162711
"482",-0.0162711
"483",-0.0162711
"484",-0.0162711
"485",-0.0162711
"486",-0.0162711
"487",-0.0162711
"488",201.818
"489",103.446
"490",162.517
"491",147.141
"492",161.745
"493",128.962
"494",71.0477
"495",29.2475
"496",0.0502207
"497",-0.0162711
"498",-0.0162711
"499",-0.0162711
"500",-0.0162711
"501",-0.0162711
"502",-0.0162711
"503",-0.0162711
"504",-0.0162711
"505",-0.0162711
"506",-0.0162711
"507",-0.0162711
"508",-0.0162711
"509",-0.0162711
"510",-0.0162711
"511",-0.0162711
"512",214.375
"513",181.504
"514",82.438
"515",104.895
"516",134.425
"517",74.3744
"518",107.107
"519",80.0848
"520",16.0148
"521",-0.0162711
"522",-0.0162711
"523",-0.0162711
"524",-0.0162711
"525",-0.0162711
"526",-0.0162711
"527",-0.0162711
"528",-0.0162711
"529",-0.0162711
"530",-0.0162711
"531",-0.0162711
"532",-0.0162711
"533",-0.0162711
"534",-0.0162711
"535",-0.0162711
"536",214.375
"537",168.252
"538",77.8864
"539",174.438
"540",156.492
"541",105.731
"542",30.3498
"543",39.5432
"544",0.210653
"545",-0.0162711
"546",-0.0162711
"547",-0.0162711
"548",-0.0162711
"549",-0.0162711
"550",-0.0162711
"551",-0.0162711
"552",-0.0162711
"553",-0.0162711
"554",-0.0162711
"555",-0.0162711
"556",-0.0162711
"557",-0.0162711
"558",-0.0162711
"559",-0.0162711
"560",162.133
"561",191.658
"562",176.71
"563",163.483
"564",205.076
"565",197.787
"566",93.5481
"567",113.369
"568",22.3993
"569",-0.0162711
"570",-0.0162711
"571",-0.0162711
"572",-0.0162711
"573",-0.0162711
"574",-0.0162711
"575",-0.0162711
"576",-0.0162711
"577",-0.0162711
"578",-0.0162711
"579",-0.0162711
"580",-0.0162711
"581",-0.0162711
"582",-0.0162711
"583",-0.0162711
"584",214.375
"585",116.688
"586",115.779
"587",173.305
"588",172.669
"589",89.4457
"590",126.719
"591",63.2269
"592",7.94571
"593",-0.0162711
"594",-0.0162711
"595",-0.0162711
"596",-0.0162711
"597",-0.0162711
"598",-0.0162711
"599",-0.0162711
"600",-0.0162711
"601",-0.0162711
"602",-0.0162711
"603",-0.0162711
"604",-0.0162711
"605",-0.0162711
"606",-0.0162711
"607",-0.0162711
"608",148.804
"609",209.443
"610",214.375
"611",210.378
"612",203.938
"613",124.19
"614",184.787
"615",60.9417
"616",4.85705
"617",-0.0162711
"618",-0.0162711
"619",-0.0162711
"620",-0.0162711
"621",-0.0162711
"622",-0.0162711
"623",-0.0162711
"624",-0.0162711
"625",-0.0162711
"626",-0.0162711
"627",-0.0162711
"628",-0.0162711
"629",-0.0162711
"630",-0.0162711
"631",-0.0162711
"632",131.216
"633",195.462
"634",124.16
"635",128.2
"636",134.381
"637",81.1635
"638",75.4561
"639",66.2209
"640",1.19812
"641",-0.0162711
"642",-0.0162711
"643",-0.0162711
"644",-0.0162711
"645",-0.0162711
"646",-0.0162711
"647",-0.0162711
"648",-0.0162711
"649",-0.0162711
"650",-0.0162711
"651",-0.0162711
"652",-0.0162711
"653",-0.0162711
"654",-0.0162711
"655",-0.0162711
"656",214.375
"657",185.593
"658",211.313
"659",208.783
"660",99.3394
"661",173.212
"662",85.7699
"663",4.16352
"664",3.59042
"665",-0.0162711
"666",-0.0162711
"667",-0.0162711
"668",-0.0162711
"669",-0.0162711
"670",-0.0162711
"671",-0.0162711
"672",-0.0162711
"673",-0.0162711
"674",-0.0162711
"675",-0.0162711
"676",-0.0162711
"677",-0.0162711
"678",-0.0162711
"679",-0.0162711
"680",182.406
"681",165.385
"682",168.048
"683",140.536
"684",151.936
"685",145.664
"686",132.037
"687",103.536
"688",26.1384
"689",-0.0162711
"690",-0.0162711
"691",-0.0162711
"692",-0.0162711
"693",-0.0162711
"694",-0.0162711
"695",-0.0162711
"696",-0.0162711
"697",-0.0162711
"698",-0.0162711
"699",-0.0162711
"700",-0.0162711
"701",-0.0162711
"702",-0.0162711
"703",-0.0162711
"704",163.967
"705",101.693
"706",150.901
"707",140.255
"708",61.2616
"709",132.124
"710",142.49
"711",108.432
"712",18.3921
"713",-0.0162711
"714",-0.0162711
"715",-0.0162711
"716",-0.0162711
"717",-0.0162711
"718",-0.0162711
"719",-0.0162711
"720",-0.0162711
"721",-0.0162711
"722",-0.0162711
"723",-0.0162711
"724",-0.0162711
"725",-0.0162711
"726",-0.0162711
"727",-0.0162711
"728",171.267
"729",201.498
"730",212.083
"731",194.888
"732",203.038
"733",193.481
"734",179.85
"735",155.523
"736",48.7511
"737",-0.0162711
"738",-0.0162711
"739",-0.0162711
"740",-0.0162711
"741",-0.0162711
"742",-0.0162711
"743",-0.0162711
"744",-0.0162711
"745",-0.0162711
"746",-0.0162711
"747",-0.0162711
"748",-0.0162711
"749",-0.0162711
"750",-0.0162711
"751",-0.0162711
"752",84.1353
"753",47.007
"754",46.2042
"755",45.2224
"756",43.1364
"757",39.0563
"758",35.75
"759",23.433
"760",8.09227
"761",-0.0162711
"762",-0.0162711
"763",-0.0162711
"764",-0.0162711
"765",-0.0162711
"766",-0.0162711
"767",-0.0162711
"768",-0.0162711
"769",-0.0162711
"770",-0.0162711
"771",-0.0162711
"772",-0.0162711
"773",-0.0162711
"774",-0.0162711
"775",-0.0162711
"776",102.022
"777",61.7144
"778",47.223
"779",41.1441
"780",32.9572
"781",27.0438
"782",19.2151
"783",8.62523
"784",2.2139
"785",-0.0162711
"786",-0.0162711
"787",-0.0162711
"788",-0.0162711
"789",-0.0162711
"790",-0.0162711
"791",-0.0162711
"792",-0.0162711
"793",-0.0162711
"794",-0.0162711
"795",-0.0162711
"796",-0.0162711
"797",-0.0162711
"798",-0.0162711
"799",-0.0162711
"800",30.0067
"801",24.1775
"802",29.8909
"803",33.6347
"804",30.1151
"805",20.1517
"806",11.216
"807",5.17075
"808",1.54575
"809",-0.0162711
"810",-0.0162711
"811",-0.0162711
"812",-0.0162711
"813",-0.0162711
"814",-0.0162711
"815",-0.0162711
"816",-0.0162711
"817",-0.0162711
"818",-0.0162711
"819",-0.0162711
"820",-0.0162711
"821",-0.0162711
"822",-0.0162711
"823",-0.0162711
"824",214.375
"825",199.347
"826",187.461
"827",211.79
"828",207.499
"829",148.035
"830",90.8109
"831",0.982033
"832",0.210689
"833",-0.0162711
"834",-0.0162711
"835",-0.0162711
"836",-0.0162711
"837",-0.0162711
"838",-0.0162711
"839",-0.0162711
"840",-0.0162711
"841",-0.0162711
"842",-0.0162711
"843",-0.0162711
"844",-0.0162711
"845",-0.0162711
"846",-0.0162711
"847",-0.0162711
"848",127.248
"849",206.395
"850",213.79
"851",210.173
"852",183.212
"853",198.293
"854",119.522
"855",50.2314
"856",1.19896
"857",-0.0162711
"858",-0.0162711
"859",-0.0162711
"860",-0.0162711
"861",-0.0162711
"862",-0.0162711
"863",-0.0162711
"864",-0.0162711
"865",-0.0162711
"866",-0.0162711
"867",-0.0162711
"868",-0.0162711
"869",-0.0162711
"870",-0.0162711
"871",-0.0162711
"872",214.375
"873",177.756
"874",196.753
"875",152.982
"876",14.1624
"877",6.04778
"878",60.7189
"879",16.7363
"880",0.871464
"881",-0.0162711
"882",-0.0162711
"883",-0.0162711
"884",-0.0162711
"885",-0.0162711
"886",-0.0162711
"887",-0.0162711
"888",-0.0162711
"889",-0.0162711
"890",-0.0162711
"891",-0.0162711
"892",-0.0162711
"893",-0.0162711
"894",-0.0162711
"895",-0.0162711
"896",146.917
"897",175.854
"898",167.822
"899",186.565
"900",180.232
"901",126.631
"902",119.375
"903",58.8104
"904",3.65623
"905",-0.0162711
"906",-0.0162711
"907",-0.0162711
"908",-0.0162711
"909",-0.0162711
"910",-0.0162711
"911",-0.0162711
"912",-0.0162711
"913",-0.0162711
"914",-0.0162711
"915",-0.0162711
"916",-0.0162711
"917",-0.0162711
"918",-0.0162711
"919",-0.0162711
"920",214.375
"921",135.961
"922",129.488
"923",194.523
"924",34.1566
"925",29.1177
"926",21.0834
"927",57.2024
"928",6.61634
"929",-0.0162711
"930",-0.0162711
"931",-0.0162711
"932",-0.0162711
"933",-0.0162711
"934",-0.0162711
"935",-0.0162711
"936",-0.0162711
"937",-0.0162711
"938",-0.0162711
"939",-0.0162711
"940",-0.0162711
"941",-0.0162711
"942",-0.0162711
"943",-0.0162711
"944",214.375
"945",202.301
"946",181.354
"947",207.841
"948",158.325
"949",158.058
"950",122.9
"951",36.0621
"952",0.0499376
"953",-0.0162711
"954",-0.0162711
"955",-0.0162711
"956",-0.0162711
"957",-0.0162711
"958",-0.0162711
"959",-0.0162711
"960",-0.0162711
"961",-0.0162711
"962",-0.0162711
"963",-0.0162711
"964",-0.0162711
"965",-0.0162711
"966",-0.0162711
"967",-0.0162711
"968",214.375
"969",182.522
"970",180.916
"971",162.92
"972",197.506
"973",141.999
"974",49.7275
"975",27.7133
"976",4.47903
"977",-0.0162711
"978",-0.0162711
"979",-0.0162711
"980",-0.0162711
"981",-0.0162711
"982",-0.0162711
"983",-0.0162711
"984",-0.0162711
"985",-0.0162711
"986",-0.0162711
"987",-0.0162711
"988",-0.0162711
"989",-0.0162711
"990",-0.0162711
"991",-0.0162711
"992",127.451
"993",125.504
"994",103.163
"995",117.064
"996",97.9865
"997",48.1223
"998",52.8414
"999",27.6871
"1000",13.6234
"1001",-0.0162711
"1002",-0.0162711
"1003",-0.0162711
"1004",-0.0162711
"1005",-0.0162711
"1006",-0.0162711
"1007",-0.0162711
"1008",-0.0162711
"1009",-0.0162711
"1010",-0.0162711
"1011",-0.0162711
"1012",-0.0162711
"1013",-0.0162711
"1014",-0.0162711
"1015",-0.0162711
"1016",214.375
"1017",182.861
"1018",203.659
"1019",169.237
"1020",207.905
"1021",148.118
"1022",93.9848
"1023",110.282
"1024",60.4747
"1025",-0.0162711
"1026",-0.0162711
"1027",-0.0162711
"1028",-0.0162711
"1029",-0.0162711
"1030",-0.0162711
"1031",-0.0162711
"1032",-0.0162711
"1033",-0.0162711
"1034",-0.0162711
"1035",-0.0162711
"1036",-0.0162711
"1037",-0.0162711
"1038",-0.0162711
"1039",-0.0162711
"1040",127.288
"1041",213.542
"1042",214.375
"1043",214.375
"1044",209.796
"1045",203.211
"1046",193.97
"1047",175.955
"1048",82.196
"1049",-0.0162711
"1050",-0.0162711
"1051",-0.0162711
"1052",-0.0162711
"1053",-0.0162711
"1054",-0.0162711
"1055",-0.0162711
"1056",-0.0162711
"1057",-0.0162711
"1058",-0.0162711
"1059",-0.0162711
"1060",-0.0162711
"1061",-0.0162711
"1062",-0.0162711
"1063",-0.0162711
"1064",134.27
"1065",193.949
"1066",214.375
"1067",214.375
"1068",212.889
"1069",205.882
"1070",196.529
"1071",179.872
"1072",141.897
"1073",-0.0162711
"1074",-0.0162711
"1075",-0.0162711
"1076",-0.0162711
"1077",-0.0162711
"1078",-0.0162711
"1079",-0.0162711
"1080",-0.0162711
"1081",-0.0162711
"1082",-0.0162711
"1083",-0.0162711
"1084",-0.0162711
"1085",-0.0162711
